Location,Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Modifier Id,Master Id,Modifier SKU,Modifier PLU,Modifier,Option Group ID,Option Group Name,Parent Menu Selection Item ID,Parent Menu Selection,Sales Category,Gross Price,Discount,Net Price,Qty,Void?,Void Reason ID,Void Reason
1234 Elmwood Avenue,900000004024227002,15,4/10/24 7:08 PM,4/10/24 7:07 PM,900000004024227001,Bartender A,,,Dinner,,900000004024226342,9.000000011336605e+17,9.000000011336605e+17,,,3 Tacos,9.000000011336605e+17,Size,900000001133620863,Fried Beef Tacos,,7.0,0.0,7.0,1.0,False,,
1234 Elmwood Avenue,900000004024227002,15,4/10/24 7:08 PM,4/10/24 7:07 PM,900000004024227001,Bartender A,,,Dinner,,900000004024226343,9.000000000227158e+17,9.000000000227158e+17,,,Sour Cream,9.000000011338575e+17,Taco Extras,900000001133620863,Fried Beef Tacos,,0.5,0.0,0.5,1.0,False,,
1234 Elmwood Avenue,900000004024227002,15,4/10/24 7:08 PM,4/10/24 7:07 PM,900000004024227001,Bartender A,,,Dinner,,900000004024226346,9.000000011337288e+17,9.000000011337288e+17,,,Mild Taco Sauce,9.000000011336943e+17,Taco Sauce,900000001133620863,Fried Beef Tacos,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004024227002,15,4/10/24 7:08 PM,4/10/24 7:07 PM,900000004024227001,Bartender A,,,Dinner,,900000004024226347,9.000000011336605e+17,9.000000011336605e+17,,,3 Tacos,9.000000011336605e+17,Size,900000001133620863,Fried Beef Tacos,,7.0,0.0,7.0,1.0,False,,
1234 Elmwood Avenue,900000004024227002,15,4/10/24 7:08 PM,4/10/24 7:07 PM,900000004024227001,Bartender A,,,Dinner,,900000004024226348,9.000000000227158e+17,9.000000000227158e+17,,,Sour Cream,9.000000011338575e+17,Taco Extras,900000001133620863,Fried Beef Tacos,,0.5,0.0,0.5,1.0,False,,
1234 Elmwood Avenue,900000004024702795,17,4/10/24 7:23 PM,4/10/24 7:22 PM,900000004024702794,Bartender A,,,Dinner,,900000004024702773,9.000000011336605e+17,9.000000011336605e+17,,,3 Tacos,9.000000011336605e+17,Size,900000001133620863,Fried Beef Tacos,,7.0,0.0,7.0,1.0,False,,
1234 Elmwood Avenue,900000004024702795,17,4/10/24 7:23 PM,4/10/24 7:22 PM,900000004024702794,Bartender A,,,Dinner,,900000004024702774,9.000000000227158e+17,9.000000000227158e+17,,,Sour Cream,9.000000011338575e+17,Taco Extras,900000001133620863,Fried Beef Tacos,,0.5,0.0,0.5,1.0,False,,
1234 Elmwood Avenue,900000004024702795,17,4/10/24 7:23 PM,4/10/24 7:22 PM,900000004024702794,Bartender A,,,Dinner,,900000004024702775,9.000000011337288e+17,9.000000011337288e+17,,,Hot Taco Sauce,9.000000011336943e+17,Taco Sauce,900000001133620863,Fried Beef Tacos,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004024702795,17,4/10/24 7:23 PM,4/10/24 7:22 PM,900000004024702794,Bartender A,,,Dinner,,900000004024702776,,,,,No Tom,,,900000001133620863,Fried Beef Tacos,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004024702795,17,4/10/24 7:23 PM,4/10/24 7:22 PM,900000004024702794,Bartender A,,,Dinner,,900000004024702779,9.000000011336605e+17,9.000000011336605e+17,,,2 Tacos,9.000000011336605e+17,Size,900000001133620863,Fried Beef Tacos,,5.5,0.0,5.5,1.0,False,,
